,성분코드,성분명,영문명,formatted_영문명
0,6,류코노스톡/무발효여과물,Leuconostoc/Radish Root Ferment Filtrate,leuconostoc-radish-root-ferment-filtrate
1,7,백혈구추출물,Leukocyte Extract,leukocyte-extract
2,8,리나칸투스 콤무니스추출물,Rhinacanthus Communis Extract,rhinacanthus-communis-extract
3,9,리날룰,Linalool,linalool
4,10,리날릴아세테이트,Linalyl Acetate,linalyl-acetate
5,11,리놀레닉애씨드,Linolenic Acid,linolenic-acid
6,12,리놀레아마이드엠이에이,Linoleamide MEA,linoleamide-mea
7,13,구상나무잎가루,Abies Koreana Leaf Powder,abies-koreana-leaf-powder
8,14,리놀레아미도프로필다이메틸아민다이머다이리놀리에이트,Linoleamidopropyl Dimethylamine Dimer Dilinoleate,linoleamidopropyl-dimethylamine-dimer-dilinoleate
9,15,리놀레아미도프로필에틸다이모늄에토설페이트,Linoleamidopropyl Ethyldimonium Ethosulfate,linoleamidopropyl-ethyldimonium-ethosulfate
10,16,리놀레아미도프로필피지-다이모늄클로라이드포스페이트,Linoleamidopropyl PG-Dimonium Chloride Phosphate,linoleamidopropyl-pg-dimonium-chloride-phosphate
11,17,리놀레아미도프로필피지-다이모늄클로라이드포스페이트다이메티콘,Linoleamidopropyl PG-Dimonium Chloride Phosphate Dimethicone,linoleamidopropyl-pg-dimonium-chloride-phosphate-dimethicone
12,18,리놀레익애씨드,Linoleic Acid,linoleic-acid
13,19,리마콩씨추출물,Phaseolus Lunatus Seed Extract,phaseolus-lunatus-seed-extract
14,20,리모넨,Limonene,limonene
15,21,리모니아 아키디시마목부가루,Limonia Acidissima Wood Powder,limonia-acidissima-wood-powder
16,22,리보플라빈,Riboflavin,riboflavin
17,23,구상나무잎추출물,Abies Koreana Leaf Extract,abies-koreana-leaf-extract
18,24,리씨열매오일,Litsea Cubeba Fruit Oil,litsea-cubeba-fruit-oil
19,25,리치과피추출물,Litchi Chinensis Pericarp Extract,litchi-chinensis-pericarp-extract
20,26,리치씨추출물,Litchi Chinensis Seed Extract,litchi-chinensis-seed-extract
21,27,리치추출물,Litchi Chinensis Fruit Extract,litchi-chinensis-fruit-extract
22,28,리토탐니온 칼카룸가루,Lithothamnion Calcareum Powder,lithothamnion-calcareum-powder
23,29,리튬마그네슘소듐실리케이트,Lithium Magnesium Sodium Silicate,lithium-magnesium-sodium-silicate
24,30,리튬스테아레이트,Lithium Stearate,lithium-stearate
25,31,글루티너스리트세아나무껍질추출물,Litsea Glutinosa Bark Extract,litsea-glutinosa-bark-extract
26,32,리파아제,Lipase,lipase
27,33,리피아 시도이데스잎오일,Lippia Sidoides Leaf Oil,lippia-sidoides-leaf-oil
28,34,구아검,Cyamopsis Tetragonoloba Gum,cyamopsis-tetragonoloba-gum
29,35,유럽피나무꽃추출물,Tilia Europaea Flower Extract,tilia-europaea-flower-extract
30,36,마가목추출물,Sorbus Commixta Extract,sorbus-commixta-extract
31,37,마그네슘글루코네이트,Magnesium Gluconate,magnesium-gluconate
32,38,마그네슘나이트레이트,Magnesium Nitrate,magnesium-nitrate
33,39,마그네슘라우레스-8설페이트,Magnesium Laureth-8 Sulfate,magnesium-laureth-8-sulfate
34,40,마그네슘라우레스설페이트,Magnesium Laureth Sulfate,magnesium-laureth-sulfate
35,41,마그네슘라우릴설페이트,Magnesium Lauryl Sulfate,magnesium-lauryl-sulfate
36,42,마그네슘락테이트,Magnesium Lactate,magnesium-lactate
37,43,마그네슘미리스테이트,Magnesium Myristate,magnesium-myristate
38,44,마그네슘살리실레이트,Magnesium Salicylate,magnesium-salicylate
39,45,구아노신,Guanosine,guanosine
40,46,마그네슘설페이트,Magnesium Sulfate,magnesium-sulfate
41,47,마그네슘스테아레이트,Magnesium Stearate,magnesium-stearate
42,48,마그네슘시트레이트,Magnesium Citrate,magnesium-citrate
43,49,마그네슘실리케이트,Magnesium Silicate,magnesium-silicate
44,50,마그네슘아세테이트,Magnesium Acetate,magnesium-acetate
45,51,마그네슘아스코빌포스페이트,Magnesium Ascorbyl Phosphate,magnesium-ascorbyl-phosphate
46,52,마그네슘아스파테이트,Magnesium Aspartate,magnesium-aspartate
47,53,마그네슘알루미늄실리케이트,Magnesium Aluminum Silicate,magnesium-aluminum-silicate
48,54,마그네슘옥사이드,Magnesium Oxide,magnesium-oxide
49,55,마그네슘올레스설페이트,Magnesium Oleth Sulfate,magnesium-oleth-sulfate
50,56,구아니딘카보네이트,Guanidine Carbonate,guanidine-carbonate
51,57,마그네슘카보네이트,Magnesium Carbonate,magnesium-carbonate
52,58,마그네슘카보네이트하이드록사이드,Magnesium Carbonate Hydroxide,magnesium-carbonate-hydroxide
53,59,마그네슘클로라이드,Magnesium Chloride,magnesium-chloride
54,60,마그네슘트라이실리케이트,Magnesium Trisilicate,magnesium-trisilicate
55,61,마그네슘팔미토일글루타메이트,Magnesium Palmitoyl Glutamate,magnesium-palmitoyl-glutamate
56,62,마그네슘/포타슘/실리콘/플루오라이드/하이드록사이드/옥사이드,Magnesium/Potassium/Silicon/Fluoride/Hydroxide/Oxide,magnesium-potassium-silicon-fluoride-hydroxide-oxide
57,63,마그네슘포타슘플루오로실리케이트,Magnesium Potassium Fluorosilicate,magnesium-potassium-fluorosilicate
58,64,마그네슘피씨에이,Magnesium PCA,magnesium-pca
59,65,마그네슘하이드록사이드,Magnesium Hydroxide,magnesium-hydroxide
60,66,황목련꽃추출물,Magnolia Acuminata Flower Extract,magnolia-acuminata-flower-extract
61,67,구아닌,Guanine,guanine
62,68,마누카가지/잎오일,Leptospermum Scoparium Branch/Leaf Oil,leptospermum-scoparium-branch-leaf-oil
63,69,마늘추출물,Allium Sativum Bulb Extract,allium-sativum-bulb-extract
64,70,마데카소사이드,Madecassoside,madecassoside
65,71,마데카식애씨드,Madecassic Acid,madecassic-acid
66,72,마돈나백합꽃수,Lilium Candidum Flower Water,lilium-candidum-flower-water
67,73,마돈나백합꽃추출물,Lilium Candidum Flower Extract,lilium-candidum-flower-extract
68,74,마돈나백합비늘줄기추출물,Lilium Candidum Bulb Extract,lilium-candidum-bulb-extract
69,75,가시칠엽수껍질추출물,Aesculus Hippocastanum Bark Extract,aesculus-hippocastanum-bark-extract
70,76,가시칠엽수씨추출물,Aesculus Hippocastanum Seed Extract,aesculus-hippocastanum-seed-extract
71,77,마뿌리추출물,Dioscorea Oppositifolia Root Extract,dioscorea-oppositifolia-root-extract
72,78,구아바잎추출물,Psidium Guajava Leaf Extract,psidium-guajava-leaf-extract
73,79,마시멜로뿌리,Althaea Officinalis Root,althaea-officinalis-root
74,80,마시멜로뿌리추출물,Althaea Officinalis Root Extract,althaea-officinalis-root-extract
75,81,마시멜로잎/뿌리추출물,Althaea Officinalis Leaf/Root Extract,althaea-officinalis-leaf-root-extract
76,82,마시멜로잎추출물,Althaea Officinalis Leaf Extract,althaea-officinalis-leaf-extract
77,83,마이카,Mica,mica
78,84,마이크로코쿠스용해물,Micrococcus Lysate,micrococcus-lysate
79,85,마이크로크리스탈린셀룰로오스,Microcrystalline Cellulose,microcrystalline-cellulose
80,86,마이크로크리스탈린왁스,Microcrystalline Wax,microcrystalline-wax
81,87,삼씨오일,Cannabis Sativa Seed Oil,cannabis-sativa-seed-oil
82,88,쇠비름추출물,Portulaca Oleracea Extract,portulaca-oleracea-extract
83,89,구아바열매추출물,Psidium Guajava Fruit Extract,psidium-guajava-fruit-extract
84,90,퀸즈랜드넛오일,Macadamia Integrifolia Seed Oil,macadamia-integrifolia-seed-oil
85,91,마카다미아씨추출물,Macadamia Ternifolia Seed Extract,macadamia-ternifolia-seed-extract
86,92,마카뿌리추출물,Lepidium Meyenii Root Extract,lepidium-meyenii-root-extract
87,93,마테잎추출물,Ilex Paraguariensis Leaf Extract,ilex-paraguariensis-leaf-extract
88,94,마텔오일,Myrtus Communis Oil,myrtus-communis-oil
89,95,마텔잎수,Myrtus Communis Leaf Water,myrtus-communis-leaf-water
90,96,마텔추출물,Myrtus Communis Extract,myrtus-communis-extract
91,97,초마황추출물,Ephedra Sinica Extract,ephedra-sinica-extract
92,98,만난,Mannan,mannan
93,99,구아이아줄렌,Guaiazulene,guaiazulene
94,100,만니톨,Mannitol,mannitol
95,101,필리핀오렌지껍질오일,Citrus Nobilis Peel Oil,citrus-nobilis-peel-oil
96,102,필리핀오렌지껍질추출물,Citrus Nobilis Peel Extract,citrus-nobilis-peel-extract
97,103,필리핀오렌지수,Citrus Nobilis Water,citrus-nobilis-water
98,104,필리핀오렌지추출물,Citrus Nobilis Fruit Extract,citrus-nobilis-fruit-extract
99,105,만델릭애씨드,Mandelic Acid,mandelic-acid
100,106,만주곰슬껍질추출물,Pinus Tabuliformis Bark Extract,pinus-tabuliformis-bark-extract
101,107,튜베로즈추출물,Polianthes Tuberosa Extract,polianthes-tuberosa-extract
102,108,말굽잔나비버섯추출물,Fomes Officinalis Extract,fomes-officinalis-extract
103,109,말라카이트,Malachite,malachite
104,110,힙네아 무스키포르미스추출물,Hypnea Musciformis Extract,hypnea-musciformis-extract
