ingredient,count,used %,effects,main effect
water,67796,88.05,['solvent'],solvent
glycerin,55954,72.67,"['skin-identical ingredient', 'moisturizer/humectant']",skin-identical ingredient
phenoxyethanol,36755,47.73,['preservative'],preservative
parfum,36094,46.88,['perfuming'],perfuming
butylene-glycol,24942,32.39,"['moisturizer/humectant', 'solvent']",moisturizer/humectant
ethylhexylglycerin,23514,30.54,['preservative'],preservative
disodium-edta,22870,29.7,['chelating'],chelating
citric-acid,22393,29.08,['buffering'],buffering
xanthan-gum,22376,29.06,['viscosity controlling'],viscosity controlling
tocopherol,22333,29.0,['antioxidant'],antioxidant
sodium-hyaluronate,19878,25.82,"['skin-identical ingredient', 'moisturizer/humectant']",skin-identical ingredient
tocopheryl-acetate,18802,24.42,['antioxidant'],antioxidant
caprylyl-glycol,16992,22.07,"['moisturizer/humectant', 'emollient']",moisturizer/humectant
dimethicone,16775,21.79,['emollient'],emollient
caprylic-capric-triglyceride,16504,21.43,['emollient'],emollient
panthenol,15715,20.41,"['soothing', 'moisturizer/humectant']",soothing
cetearyl-alcohol,15590,20.25,"['emollient', 'viscosity controlling', 'emulsifying', 'surfactant/cleansing']",emollient
sodium-benzoate,14899,19.35,['preservative'],preservative
linalool,13672,17.76,['perfuming'],perfuming
glyceryl-stearate,13648,17.72,"['emollient', 'emulsifying']",emollient
potassium-sorbate,13591,17.65,['preservative'],preservative
sodium-hydroxide,13457,17.48,['buffering'],buffering
carbomer,13247,17.2,['viscosity controlling'],viscosity controlling
1-2-hexanediol,13093,17.0,['solvent'],solvent
propylene-glycol,12806,16.63,"['moisturizer/humectant', 'solvent', 'viscosity controlling']",moisturizer/humectant
limonene,12711,16.51,"['perfuming', 'solvent']",perfuming
propanediol,12112,15.73,"['solvent', 'moisturizer/humectant']",solvent
butyrospermum-parkii-butter,11412,14.82,"['emollient', 'viscosity controlling']",emollient
niacinamide,11285,14.66,"['cell-communicating ingredient', 'skin brightening', 'anti-acne', 'moisturizer/humectant']",cell-communicating ingredient
allantoin,11072,14.38,['soothing'],soothing
helianthus-annuus-seed-oil,9738,12.65,['emollient'],emollient
sodium-chloride,9317,12.1,['viscosity controlling'],viscosity controlling
cetyl-alcohol,9293,12.07,"['emollient', 'viscosity controlling']",emollient
stearic-acid,9148,11.88,"['emollient', 'viscosity controlling']",emollient
aloe-barbadensis-leaf-juice,9034,11.73,"['soothing', 'moisturizer/humectant']",soothing
benzyl-alcohol,8793,11.42,"['preservative', 'perfuming', 'solvent', 'viscosity controlling']",preservative
pentylene-glycol,8601,11.17,"['solvent', 'moisturizer/humectant']",solvent
camellia-sinensis-leaf-extract,8520,11.06,"['antioxidant', 'soothing']",antioxidant
silica,7919,10.28,['viscosity controlling'],viscosity controlling
cyclopentasiloxane,7786,10.11,"['emollient', 'solvent']",emollient
polysorbate-20,7421,9.64,"['emulsifying', 'surfactant/cleansing']",emulsifying
simmondsia-chinensis-seed-oil,7296,9.48,['emollient'],emollient
acrylates-c10-30-alkyl-acrylate-crosspolymer,7210,9.36,['viscosity controlling'],viscosity controlling
squalane,7051,9.16,"['skin-identical ingredient', 'emollient']",skin-identical ingredient
citronellol,6954,9.03,['perfuming'],perfuming
geraniol,6835,8.88,['perfuming'],perfuming
ci-77891,6775,8.8,['colorant'],colorant
alcohol,6560,8.52,"['antimicrobial/antibacterial', 'solvent', 'viscosity controlling']",antimicrobial/antibacterial
lecithin,6480,8.42,"['emollient', 'emulsifying']",emollient
lactic-acid,6379,8.28,"['exfoliant', 'moisturizer/humectant', 'buffering']",exfoliant
titanium-dioxide,5914,7.68,"['sunscreen', 'colorant']",sunscreen
betaine,5850,7.6,['moisturizer/humectant'],moisturizer/humectant
triethanolamine,5775,7.5,['buffering'],buffering
methylparaben,5676,7.37,['preservative'],preservative
bht,5663,7.35,"['antioxidant', 'preservative']",antioxidant
dipropylene-glycol,5659,7.35,['solvent'],solvent
peg-100-stearate,5652,7.34,"['surfactant/cleansing', 'emulsifying']",surfactant/cleansing
